month,n_days_present,n_days_expected,coverage,n_days_doc_api,n_days_ngram_bridge,mixed_instruments,share_pakistan_west,share_china_east,share_gulf_energy,share_us_trade,share_shipping,composite_mean_of_ranks,refused_reason
2017-01,31,31,1.0,31,0,False,0.049519,0.016384,0.087768,0.038965,0.057248,,
2017-02,28,28,1.0,28,0,False,0.025793,0.013004,0.128354,0.028882,0.058861,,
2017-03,31,31,1.0,31,0,False,0.02681,0.013416,0.118252,0.01709,0.071426,,
2017-04,30,30,1.0,30,0,False,0.020353,0.029317,0.09029,0.02781,0.078973,,
2017-05,31,31,1.0,31,0,False,0.058113,0.019677,0.096168,0.018294,0.051455,,
2017-06,30,30,1.0,30,0,False,0.04276,0.017293,0.13641,0.025217,0.053423,62.1,
2017-07,31,31,1.0,31,0,False,0.044487,0.045568,0.146784,0.0223,0.057132,61.18,
2017-08,31,31,1.0,31,0,False,0.035471,0.046852,0.107013,0.017371,0.099139,58.06,
2017-09,30,30,1.0,30,0,False,0.0366,0.021677,0.103273,0.015473,0.059903,45.95,
2017-10,31,31,1.0,31,0,False,0.029052,0.022435,0.112671,0.012058,0.059223,41.96,
2017-11,30,30,1.0,30,0,False,0.022727,0.01436,0.10858,0.016703,0.09162,45.42,
2017-12,29,31,0.9355,29,0,False,0.032152,0.020845,0.137003,0.016755,0.0619,50.3,
2018-01,31,31,1.0,31,0,False,0.039735,0.018532,0.119535,0.020839,0.052558,50.03,
2018-02,28,28,1.0,28,0,False,0.030746,0.016036,0.148346,0.019346,0.043536,43.17,
2018-03,31,31,1.0,31,0,False,0.026803,0.014694,0.108829,0.064894,0.045784,48.84,
2018-04,30,30,1.0,30,0,False,0.022637,0.017667,0.147903,0.0555,0.044437,51.45,
2018-05,31,31,1.0,31,0,False,0.03271,0.009923,0.312184,0.029416,0.037474,49.45,
2018-06,30,30,1.0,30,0,False,0.029757,0.009367,0.135083,0.072623,0.039063,48.04,
2018-07,31,31,1.0,31,0,False,0.013929,0.008003,0.225074,0.103155,0.075461,51.92,
2018-08,31,31,1.0,31,0,False,0.020668,0.011358,0.239348,0.058306,0.060035,55.87,
2018-09,30,30,1.0,30,0,False,0.029493,0.009223,0.187293,0.053187,0.04346,49.8,
2018-10,31,31,1.0,31,0,False,0.018316,0.010468,0.1594,0.053142,0.047194,47.88,
2018-11,30,30,1.0,30,0,False,0.020457,0.010583,0.24298,0.06379,0.04253,51.31,
2018-12,31,31,1.0,31,0,False,0.021335,0.017094,0.212648,0.047716,0.042026,51.45,
2019-01,31,31,1.0,31,0,False,0.025361,0.010865,0.163103,0.037539,0.0325,43.95,
2019-02,28,28,1.0,28,0,False,0.107571,0.015607,0.155143,0.031314,0.028818,45.84,
2019-03,31,31,1.0,31,0,False,0.102332,0.013868,0.138435,0.028535,0.02771,46.45,
2019-04,30,30,1.0,30,0,False,0.030287,0.014257,0.160217,0.02856,0.0393,46.21,
2019-05,31,31,1.0,31,0,False,0.01929,0.012874,0.260803,0.057084,0.062094,54.14,
2019-06,30,30,1.0,30,0,False,0.018387,0.01407,0.61484,0.103727,0.063613,64.01,
2019-07,31,31,1.0,31,0,False,0.034148,0.0141,0.488845,0.044497,0.0811,66.61,
2019-08,31,31,1.0,31,0,False,0.107458,0.016587,0.252771,0.096135,0.067235,75.55,
2019-09,30,30,1.0,30,0,False,0.058397,0.01248,0.28867,0.070297,0.06154,68.44,
2019-10,31,31,1.0,31,0,False,0.057658,0.020739,0.156416,0.063713,0.034532,55.47,
2019-11,30,30,1.0,30,0,False,0.01756,0.012443,0.151777,0.07447,0.042383,44.25,
2019-12,31,31,1.0,31,0,False,0.025048,0.017958,0.214606,0.035381,0.035539,48.34,
2020-01,31,31,1.0,31,0,False,0.026419,0.009968,0.342381,0.051377,0.041084,49.31,
2020-02,29,29,1.0,29,0,False,0.023193,0.007955,0.159262,0.066407,0.028021,36.03,
2020-03,31,31,1.0,31,0,False,0.011735,0.006903,0.126668,0.013648,0.0204,15.24,
2020-04,30,30,1.0,30,0,False,0.017627,0.015257,0.141517,0.015997,0.029233,34.26,
